Userid,Name,Email,Status,"Last seen location (latitude, longitude)",Time of day,Day of the week,Month,Weather,Academic calendar events,Building
u8wi7ti22,Natalia Miller,miller.3828@osu.edu,active,"39.999451, -83.015252",16:15,Sunday,September,Sunny,Regular,Thompson library
ulm3ebgtn,Lucas Perez,perez.2784@osu.edu,idle,"39.998966, -83.015305",17:00,Friday,March,Cloudy,Regular,Thompson library
u3iwc7fm1,Diego Harris,harris.7428@osu.edu,idle,"40.001802, -83.013068",01:45,Friday,October,Rain,Midterms season,18th Avenue library
uksrvfs27,Andrea White,white.4844@osu.edu,active,"40.001779, -83.013591",23:30,Saturday,April,Cloudy,Regular,18th Avenue library
ur340yfoo,Emily Davis,davis.7397@osu.edu,idle,"40.001734, -83.013483",10:00,Tuesday,September,Sunny,Regular,18th Avenue library
uc8w2rrex,Daniel Taylor,taylor.9525@osu.edu,idle,"40.001518, -83.013212",05:00,Friday,April,Rain,Regular,18th Avenue library
uo5n4jhn0,Henry Hill,hill.5986@osu.edu,active,"40.001758, -83.013476",16:00,Monday,September,Sunny,Regular,18th Avenue library
uuz4fmlsq,Carlos Ramirez,ramirez.1093@osu.edu,idle,"39.999595, -83.015076",14:30,Tuesday,April,Cloudy,Finals season,Thompson library
u2ukal8yf,Charlotte Lee,lee.7025@osu.edu,active,"40.001743, -83.013499",13:15,Monday,December,Cloudy,Finals season,18th Avenue library
u9sq4uupe,Gianna Jackson,jackson.8982@osu.edu,active,"40.001665, -83.013608",17:30,Thursday,April,Sunny,Regular,18th Avenue library
u12dwockt,Lorenzo Carter,carter.1388@osu.edu,active,"39.999581, -83.014517",14:00,Thursday,March,Rain,Regular,Thompson library
uetqumlac,Mia Allen,allen.7854@osu.edu,idle,"39.999417, -83.015038",10:00,Sunday,November,Cloudy,Regular,Thompson library
ujy1km8wr,Olivia Clark,clark.1593@osu.edu,active,"39.998259, -83.011865",14:15,Monday,October,Rain,Midterms season,orton library
uod97d616,Diego Anderson,anderson.9138@osu.edu,active,"39.998224, -83.011632",20:00,Monday,April,Cloudy,Finals season,orton library
u4x2uojix,Santiago Wright,wright.3370@osu.edu,idle,"40.001666, -83.013146",23:15,Wednesday,August,Rain,Regular,18th Avenue library
u60h15o33,Santiago Smith,smith.5732@osu.edu,idle,"40.001648, -83.013503",12:00,Friday,October,Cloudy,Midterms season,18th Avenue library
uv8dw6zkk,Avery Davis,davis.6796@osu.edu,active,"39.999447, -83.015220",12:00,Monday,September,Rain,Regular,Thompson library
untfxnw4p,Noah Anderson,anderson.1506@osu.edu,idle,"40.001590, -83.013336",10:00,Friday,September,Cloudy,Regular,18th Avenue library
uex143usc,Sofia Scott,scott.1196@osu.edu,active,"40.001777, -83.013144",19:30,Tuesday,March,Rain,Midterms season,18th Avenue library
uqyj1nec9,Emily Johnson,johnson.6284@osu.edu,active,"40.001863, -83.013157",16:00,Wednesday,February,Sunny,Regular,18th Avenue library
ucdvwe4da,Natalia Flores,flores.1100@osu.edu,active,"39.998958, -83.014970",13:15,Tuesday,March,Sunny,Midterms season,Thompson library
u6a25n9dg,Sophia Hall,hall.4279@osu.edu,active,"40.001674, -83.013208",00:45,Monday,December,Cloudy,Finals season,18th Avenue library
u6ti8snmv,William Jones,jones.2231@osu.edu,idle,"40.001790, -83.013405",19:15,Saturday,October,Cloudy,Regular,18th Avenue library
ujtecm5ks,Santiago Carter,carter.5763@osu.edu,active,"40.001485, -83.013375",08:30,Sunday,October,Cloudy,Midterms season,18th Avenue library
u9m9t7yr4,James Adams,adams.6092@osu.edu,active,"39.999295, -83.015372",01:15,Sunday,April,Sunny,Regular,Thompson library
ulsuwrkng,Sophia Campbell,campbell.9292@osu.edu,active,"39.998198, -83.011752",00:00,Sunday,January,Snow,Regular,orton library
u5qn70w7c,Sophia Johnson,johnson.1881@osu.edu,active,"39.999351, -83.015130",20:30,Sunday,January,Cloudy,Regular,Thompson library
u45irw63p,Liam Moore,moore.2823@osu.edu,active,"39.998297, -83.012057",12:15,Wednesday,April,Cloudy,Regular,orton library
upwaadkxi,Gianna Wright,wright.9566@osu.edu,active,"39.999171, -83.014537",13:15,Wednesday,April,Rain,Finals season,Thompson library
ukcbiqsal,Logan Walker,walker.5753@osu.edu,idle,"39.999335, -83.014378",11:30,Tuesday,March,Sunny,Regular,Thompson library
u4ub5fa4r,Amelia Hall,hall.6361@osu.edu,active,"39.998326, -83.008937",09:30,Wednesday,March,Rain,Regular,Ohio Union
ueethdb7u,Juan Wilson,wilson.3858@osu.edu,idle,"39.999128, -83.014466",09:00,Wednesday,January,Sunny,Regular,Thompson library
umrq1b0g0,Mateo Lee,lee.7226@osu.edu,idle,"39.998186, -83.012178",01:00,Monday,December,Cloudy,Finals season,orton library
u4kkqpq5n,Diego Baker,baker.3357@osu.edu,idle,"39.998502, -83.011843",00:00,Tuesday,June,Sunny,Regular,orton library
uoza629h6,Valentina Mitchell,mitchell.1507@osu.edu,active,"39.998165, -83.011899",13:15,Monday,September,Cloudy,Regular,orton library
udd6ousmu,Michael Jones,jones.6288@osu.edu,active,"39.999186, -83.014798",22:15,Wednesday,February,Rain,Regular,Thompson library
up6b666fr,Carlos Perez,perez.9807@osu.edu,idle,"39.998162, -83.011841",15:45,Sunday,September,Cloudy,Regular,orton library
u64b8x8oo,Sebastian Lopez,lopez.3064@osu.edu,active,"40.001769, -83.013338",17:00,Tuesday,October,Sunny,Midterms season,18th Avenue library
uv9zbwl9r,Emma King,king.9272@osu.edu,active,"39.998328, -83.011612",16:15,Friday,March,Cloudy,Midterms season,orton library
uqzd62av5,Carlos Lopez,lopez.7514@osu.edu,active,"39.998370, -83.009423",13:30,Monday,September,Sunny,Regular,Ohio Union
u2tm1yx4b,Harper Garcia,garcia.3520@osu.edu,active,"39.998274, -83.011647",14:00,Thursday,October,Cloudy,Midterms season,orton library
uzg1hgl27,Ava Nelson,nelson.7989@osu.edu,active,"39.999488, -83.014535",09:45,Tuesday,April,Rain,Finals season,Thompson library
ui3v7fge9,Aiden Miller,miller.5052@osu.edu,active,"39.998988, -83.015184",16:30,Thursday,February,Rain,Regular,Thompson library
unk29v4st,Luna Wilson,wilson.892@osu.edu,active,"39.997705, -83.009212",13:00,Sunday,March,Sunny,Midterms season,Ohio Union
ueui5bwoy,Michael Lopez,lopez.8588@osu.edu,idle,"39.998337, -83.011641",01:30,Wednesday,February,Rain,Regular,orton library
ugkhthgv2,Maria Torres,torres.146@osu.edu,active,"40.001762, -83.013462",20:30,Friday,October,Cloudy,Midterms season,18th Avenue library
u9umzsg3e,Ella Miller,miller.3521@osu.edu,active,"39.998363, -83.011704",11:45,Saturday,February,Snow,Regular,orton library
ue9gywr5c,Noah Wright,wright.2791@osu.edu,active,"39.998162, -83.012063",18:15,Thursday,November,Cloudy,Regular,orton library
uarpeytpi,Maria Jones,jones.9414@osu.edu,active,"40.003648, -83.016793",17:30,Sunday,January,Cloudy,Regular,Knowlton Hall
uc965nwvv,Valentina Green,green.6270@osu.edu,active,"40.001763, -83.013295",10:30,Wednesday,February,Snow,Regular,18th Avenue library
uo56rwd9h,Natalia Brown,brown.2835@osu.edu,idle,"40.001762, -83.013315",16:45,Thursday,November,Rain,Regular,18th Avenue library
u04vb6ysm,William Roberts,roberts.527@osu.edu,idle,"39.998322, -83.012104",22:45,Monday,March,Sunny,Regular,orton library
u6pzgf1f9,Lorenzo Martinez,martinez.8541@osu.edu,idle,"39.999254, -83.014538",12:15,Thursday,January,Snow,Regular,Thompson library
ujc78ee3i,Sophia Nguyen,nguyen.3772@osu.edu,active,"40.001849, -83.013175",15:15,Friday,October,Cloudy,Midterms season,18th Avenue library
um6eq1fj8,Jacob Ramirez,ramirez.3246@osu.edu,idle,"40.003574, -83.016112",08:15,Thursday,December,Cloudy,Finals season,Knowlton Hall
ux5ul32h8,Ava Wilson,wilson.7660@osu.edu,active,"39.998593, -83.008180",20:45,Thursday,September,Sunny,Regular,Ohio Union
u1ovg2mq5,Ella Jackson,jackson.3571@osu.edu,idle,"39.999300, -83.015074",16:30,Wednesday,September,Sunny,Regular,Thompson library
ufp37rzsn,Sebastian Williams,williams.3623@osu.edu,idle,"39.998461, -83.011840",18:15,Thursday,April,Rain,Regular,orton library
u8xiyx95n,Sebastian Walker,walker.2603@osu.edu,active,"40.001016, -83.008710",14:00,Wednesday,February,Snow,Regular,wexner center
uwdzf4pql,Gianna Hall,hall.6007@osu.edu,idle,"39.998168, -83.011725",14:30,Wednesday,October,Sunny,Midterms season,orton library
ujkny2v93,Camila White,white.9316@osu.edu,active,"39.998298, -83.008641",09:45,Wednesday,May,Rain,Regular,Ohio Union
u00jtczxd,Avery Torres,torres.635@osu.edu,active,"39.999351, -83.015250",15:45,Friday,November,Cloudy,Regular,Thompson library
uu18tagcj,Luna Hall,hall.8673@osu.edu,active,"39.998429, -83.012029",12:00,Tuesday,September,Sunny,Regular,orton library
u3w871in6,Oliver Rivera,rivera.9022@osu.edu,idle,"39.999209, -83.015259",06:15,Friday,October,Sunny,Midterms season,Thompson library
uug29b2xm,Abigail Robinson,robinson.628@osu.edu,active,"40.001665, -83.013385",10:00,Thursday,April,Sunny,Regular,18th Avenue library
uu1cqqi9l,Juan Nguyen,nguyen.4826@osu.edu,active,"40.001787, -83.013540",12:45,Friday,November,Sunny,Regular,18th Avenue library
ua6xok5vq,Emma Perez,perez.8072@osu.edu,active,"40.001545, -83.013159",15:45,Tuesday,May,Sunny,Regular,18th Avenue library
ufcsk8wfa,Alexander Nguyen,nguyen.6641@osu.edu,active,"40.001595, -83.013257",20:00,Thursday,April,Cloudy,Finals season,18th Avenue library
uf7e4rvyu,Lucas Clark,clark.9648@osu.edu,idle,"40.000904, -83.009000",08:00,Sunday,May,Rain,Regular,wexner center
uu36ibosm,Avery Nguyen,nguyen.6195@osu.edu,idle,"39.998354, -83.012192",16:45,Monday,January,Cloudy,Regular,orton library
u9ldlogo0,Sophia Hill,hill.2580@osu.edu,active,"39.997579, -83.008568",09:30,Wednesday,October,Sunny,Midterms season,Ohio Union
ucrapooou,Mateo Allen,allen.9615@osu.edu,active,"40.001707, -83.013668",16:00,Wednesday,February,Cloudy,Regular,18th Avenue library
u21chmltt,Lucas Young,young.9709@osu.edu,active,"39.999563, -83.014958",14:15,Tuesday,May,Sunny,Regular,Thompson library
usvzv53o3,Mia Martinez,martinez.7244@osu.edu,active,"39.997636, -83.009308",19:30,Saturday,October,Sunny,Regular,Ohio Union
ud1d7eyms,Elijah Roberts,roberts.1639@osu.edu,active,"39.998445, -83.012006",22:45,Thursday,April,Rain,Finals season,orton library
u1opbof1j,Benjamin Brown,brown.8786@osu.edu,idle,"40.001648, -83.013586",06:00,Monday,January,Cloudy,Regular,18th Avenue library
uaj09rkk4,Ella Jones,jones.8493@osu.edu,active,"40.001460, -83.013581",17:30,Sunday,November,Rain,Regular,18th Avenue library
u5qnhskun,Emily Green,green.4083@osu.edu,active,"40.003612, -83.016113",20:30,Monday,April,Rain,Finals season,Knowlton Hall
u59vdx3a8,Jackson Baker,baker.7494@osu.edu,active,"40.003598, -83.016167",10:00,Tuesday,September,Cloudy,Regular,Knowlton Hall
ui19zt27k,Gianna King,king.6869@osu.edu,active,"39.998203, -83.011970",16:15,Thursday,April,Rain,Finals season,orton library
u1rznh5sm,Abigail Lopez,lopez.4565@osu.edu,idle,"39.998439, -83.011935",11:45,Thursday,October,Sunny,Regular,orton library
ubtaal82z,Carlos Carter,carter.3922@osu.edu,idle,"39.999048, -83.015166",18:00,Sunday,April,Sunny,Finals season,Thompson library
u8w2omynk,Alexander Martin,martin.3027@osu.edu,idle,"39.998433, -83.011984",19:45,Wednesday,February,Rain,Regular,orton library
uwv4unk6l,Ethan Brown,brown.1694@osu.edu,active,"40.003845, -83.016374",11:15,Thursday,March,Cloudy,Midterms season,Knowlton Hall
uml7bcjws,Camila Sanchez,sanchez.8910@osu.edu,active,"39.999641, -83.014417",14:30,Sunday,November,Rain,Regular,Thompson library
uta4gsnbk,Liam Baker,baker.1781@osu.edu,idle,"39.999215, -83.014771",16:00,Friday,October,Cloudy,Regular,Thompson library
uqqyx9rjy,Maria Baker,baker.7630@osu.edu,active,"40.001591, -83.013565",15:45,Saturday,September,Sunny,Regular,18th Avenue library
un7r0na2x,Aiden Davis,davis.5098@osu.edu,active,"40.003667, -83.016729",20:30,Wednesday,April,Sunny,Finals season,Knowlton Hall
ugulbendx,Daniel Lopez,lopez.9151@osu.edu,active,"39.999370, -83.014743",19:15,Monday,September,Sunny,Regular,Thompson library
um5us5l88,Avery Rivera,rivera.7565@osu.edu,active,"40.001751, -83.013111",17:15,Tuesday,August,Cloudy,Regular,18th Avenue library
u198ela8b,Juan Hernandez,hernandez.5016@osu.edu,active,"40.003526, -83.016938",07:00,Friday,April,Rain,Finals season,Knowlton Hall
u0p6ykkvd,Maria Nelson,nelson.8715@osu.edu,idle,"40.000301, -83.009629",07:30,Saturday,November,Rain,Regular,wexner center
u28onfl35,Juan Lee,lee.3734@osu.edu,active,"40.001833, -83.013181",19:15,Wednesday,November,Rain,Regular,18th Avenue library
uukc2fq7t,Jacob Thompson,thompson.4940@osu.edu,active,"39.998181, -83.011870",20:30,Wednesday,November,Cloudy,Regular,orton library
uo0elbows,Carlos Wilson,wilson.4465@osu.edu,idle,"40.003554, -83.016921",14:00,Sunday,December,Cloudy,Regular,Knowlton Hall
u2glxgthc,Amelia Wright,wright.2229@osu.edu,active,"39.998255, -83.012096",16:30,Saturday,February,Snow,Regular,orton library
u8w7es76f,Camila Flores,flores.1780@osu.edu,idle,"40.001681, -83.013533",09:45,Tuesday,February,Snow,Regular,18th Avenue library
ub0r2vb88,Valentina Nguyen,nguyen.2567@osu.edu,active,"39.999217, -83.014725",17:15,Sunday,November,Cloudy,Regular,Thompson library
urhzg2v55,Jack Clark,clark.449@osu.edu,active,"40.001587, -83.013167",14:30,Wednesday,October,Cloudy,Regular,18th Avenue library
ujw706m3s,Sofia Hill,hill.5039@osu.edu,active,"40.001726, -83.013458",13:45,Tuesday,January,Cloudy,Regular,18th Avenue library
unznm71w1,Elijah Martinez,martinez.1322@osu.edu,active,"40.001496, -83.013429",19:00,Sunday,November,Rain,Regular,18th Avenue library
uhnm5yhpl,Alexander Nelson,nelson.1728@osu.edu,active,"39.999427, -83.014769",00:30,Thursday,March,Cloudy,Midterms season,Thompson library
umrxa2pey,Gabriel Ramirez,ramirez.2738@osu.edu,active,"39.999229, -83.014684",14:00,Thursday,October,Rain,Midterms season,Thompson library
uze34qwnt,Elijah Carter,carter.8978@osu.edu,active,"40.001710, -83.013118",12:45,Sunday,September,Sunny,Regular,18th Avenue library
ux2sjifb8,Ethan Lopez,lopez.1686@osu.edu,active,"39.998253, -83.012101",23:30,Tuesday,October,Cloudy,Regular,orton library
u0pyj7nxv,Juan Harris,harris.858@osu.edu,idle,"40.001862, -83.013207",12:00,Friday,August,Sunny,Regular,18th Avenue library
uvlwiqp3j,Logan Wright,wright.1097@osu.edu,idle,"39.999088, -83.014506",09:30,Wednesday,October,Cloudy,Midterms season,Thompson library
upslai1i4,Emily Ramirez,ramirez.1676@osu.edu,active,"40.001758, -83.013291",18:30,Tuesday,December,Cloudy,Finals season,18th Avenue library
uk19i8cn3,Olivia Anderson,anderson.7923@osu.edu,idle,"40.001822, -83.013316",16:15,Wednesday,April,Rain,Finals season,18th Avenue library
upibmgffe,Alexander Green,green.1213@osu.edu,idle,"40.001174, -83.009895",09:45,Wednesday,August,Cloudy,Regular,wexner center
uuqbmq8wl,Jackson Rivera,rivera.9640@osu.edu,idle,"39.998370, -83.011827",15:30,Saturday,March,Rain,Midterms season,orton library
ukq39w3zj,Logan Walker,walker.5468@osu.edu,active,"39.999020, -83.014740",19:45,Sunday,November,Cloudy,Regular,Thompson library
updnhuh5j,Jackson Martinez,martinez.7027@osu.edu,active,"40.001648, -83.013036",00:45,Thursday,October,Sunny,Midterms season,18th Avenue library
uxr3nxxzu,Mia Ramirez,ramirez.777@osu.edu,active,"40.003755, -83.016089",20:45,Sunday,October,Rain,Midterms season,Knowlton Hall
ulkai7e3b,Benjamin Wilson,wilson.4649@osu.edu,idle,"40.001025, -83.009169",23:45,Saturday,May,Rain,Finals season,wexner center
unijh4s0f,Emma Ramirez,ramirez.6309@osu.edu,idle,"40.001809, -83.013414",11:15,Wednesday,February,Cloudy,Regular,18th Avenue library
uvgm44qns,Emma Anderson,anderson.5069@osu.edu,idle,"39.998377, -83.011870",14:45,Thursday,October,Cloudy,Midterms season,orton library
ukaqck5al,Valentina King,king.6309@osu.edu,active,"39.999170, -83.014912",11:15,Tuesday,April,Sunny,Finals season,Thompson library
ulgdwzts4,Evelyn Anderson,anderson.6536@osu.edu,active,"39.998460, -83.012230",13:00,Tuesday,September,Sunny,Regular,orton library
ums34cb04,Elizabeth Lee,lee.3126@osu.edu,active,"40.001612, -83.013422",10:15,Wednesday,March,Cloudy,Regular,18th Avenue library
uns5y3y9h,Avery White,white.2352@osu.edu,active,"39.998217, -83.011973",13:45,Tuesday,March,Rain,Midterms season,orton library
up2ld5qxu,Harper Green,green.1897@osu.edu,active,"40.003752, -83.016991",17:15,Wednesday,March,Cloudy,Regular,Knowlton Hall
ulis0v88j,Camila Gonzalez,gonzalez.6833@osu.edu,idle,"40.001799, -83.013295",23:30,Tuesday,September,Rain,Regular,18th Avenue library
ux89jpcr1,Sofia Wright,wright.83@osu.edu,active,"40.001615, -83.013152",18:15,Sunday,April,Rain,Regular,18th Avenue library
uf6f2xsx9,Ethan Anderson,anderson.8016@osu.edu,idle,"40.003586, -83.017120",10:30,Thursday,October,Sunny,Midterms season,Knowlton Hall
u8m2gh6xf,Mateo Davis,davis.7632@osu.edu,idle,"39.999072, -83.015285",20:15,Monday,November,Rain,Regular,Thompson library
u3hfbyt3z,Diego Williams,williams.224@osu.edu,idle,"39.999351, -83.014396",16:00,Thursday,April,Sunny,Finals season,Thompson library
ukq0eplh5,Camila Young,young.194@osu.edu,active,"39.998373, -83.011767",15:15,Thursday,April,Rain,Regular,orton library
u3ptk90la,Diego Thompson,thompson.9725@osu.edu,idle,"39.998411, -83.012143",16:00,Sunday,October,Rain,Midterms season,orton library
u5paahuk4,Isabella Roberts,roberts.623@osu.edu,idle,"39.999180, -83.014352",15:30,Friday,October,Cloudy,Midterms season,Thompson library
uuj5pb8wo,Emily Nelson,nelson.1996@osu.edu,idle,"39.999118, -83.014883",10:15,Tuesday,September,Rain,Regular,Thompson library
u8xvuqhfn,Mia Martin,martin.4354@osu.edu,idle,"39.997226, -83.008384",23:45,Friday,October,Cloudy,Regular,Ohio Union
urwvk0v5t,Noah Johnson,johnson.7516@osu.edu,active,"40.001477, -83.013421",12:15,Thursday,October,Sunny,Regular,18th Avenue library
upl1jpy52,Abigail Allen,allen.8280@osu.edu,active,"40.001664, -83.013354",15:45,Saturday,March,Rain,Regular,18th Avenue library
ulecia3mm,Ella Hernandez,hernandez.4703@osu.edu,active,"39.998303, -83.011825",14:45,Tuesday,May,Sunny,Finals season,orton library
ub9w2yd7x,Alexander Garcia,garcia.3602@osu.edu,idle,"40.003718, -83.016185",18:30,Monday,November,Cloudy,Regular,Knowlton Hall
uo0gppgi0,Ethan Miller,miller.8954@osu.edu,idle,"40.001534, -83.013377",13:45,Friday,March,Rain,Midterms season,18th Avenue library
uw2d3z3ia,Charlotte Robinson,robinson.5611@osu.edu,idle,"40.001510, -83.013542",09:00,Sunday,September,Sunny,Regular,18th Avenue library
usgbmb0p7,Gianna Rivera,rivera.961@osu.edu,idle,"39.998296, -83.012163",22:30,Thursday,August,Cloudy,Regular,orton library
uyld7q3pd,Emily Harris,harris.7282@osu.edu,active,"39.999600, -83.014417",16:15,Wednesday,October,Cloudy,Midterms season,Thompson library
uq17phk8j,Ethan Rodriguez,rodriguez.5008@osu.edu,idle,"40.001691, -83.013666",21:45,Sunday,May,Sunny,Regular,18th Avenue library
urzyovmfv,Sophia Jones,jones.4829@osu.edu,idle,"39.999423, -83.014891",06:00,Saturday,April,Sunny,Finals season,Thompson library
uqffi2w50,Jacob Sanchez,sanchez.5427@osu.edu,active,"40.003526, -83.017329",13:30,Tuesday,February,Cloudy,Regular,Knowlton Hall
uwc0r6clx,Lorenzo Torres,torres.1210@osu.edu,active,"40.003593, -83.016149",19:00,Sunday,October,Rain,Regular,Knowlton Hall
utmzziws1,Sebastian Robinson,robinson.3496@osu.edu,active,"39.997681, -83.008894",13:45,Sunday,October,Cloudy,Regular,Ohio Union
u8z8aibtc,Ava Moore,moore.8904@osu.edu,active,"40.001650, -83.013256",19:00,Wednesday,September,Sunny,Regular,18th Avenue library
u7cix8oop,Gianna Johnson,johnson.2243@osu.edu,active,"40.001641, -83.013199",09:30,Tuesday,May,Sunny,Regular,18th Avenue library
u8lyu85fe,Emily Rivera,rivera.4767@osu.edu,active,"40.001704, -83.013597",15:45,Sunday,November,Rain,Regular,18th Avenue library
